Module Name,Sub Module,Feature / Requirement,Expected Flow,Frontend UI Available,Frontend Logic Status,API Integration Status,Backend Required,Backend Available,Database Required,Validation Status,Role-Based Access,Current Status,Completion %,Remaining Work,Priority,Notes
5. Super Admin,Integrations,List + integration detail view,"Configure SendGrid, Twilio, S3, etc.",Yes,Partial,Missing,Yes,No,Yes,Partial,Yes,UI Only,45,"Secrets storage, connection-test endpoints",Medium,/super/integrations + [slug] detail.
5. Super Admin,Health,Platform health monitoring dashboard,"Real-time service health, queue depths, latencies",Yes,Completed,Missing,Yes,No,Yes,N/A,Yes,Static Data Only,50,Wire APM (Datadog/NewRelic) feeds,Medium,/super/health - static.
5. Super Admin,Security,Platform-wide security events + IP allowlist,"Failed login spikes, suspicious IPs, allowlist mgmt",Yes,Partial,Missing,Yes,No,Yes,Partial,Yes,UI Only,45,"Security event aggregation, allowlist CIDR table",High,/super/security + add-range-dialog.
5. Super Admin,Break-Glass,Emergency cross-tenant access with full audit,Super admin opens time-boxed session into a tenant; all actions audited,Yes,Partial,Missing,Yes,No,Yes,Partial,Yes,UI Only,45,"Break-glass session table, mandatory justification, page super team",High,/super/break-glass form. Toast on submit.
5. Super Admin,Incidents,Incident open/triage/close workflow,Platform incidents tracked,Yes,Partial,Missing,Yes,No,Yes,Partial,Yes,UI Only,45,"Incident table, status machine, paging integrations",Medium,/super/incidents + open-incident-dialog.
5. Super Admin,Notifications,Platform-ops alerts feed,"Break-glass, tenant security, queue health alerts",Yes,Completed,Missing,Yes,No,Yes,N/A,Yes,Static Data Only,60,Real dispatch + paging integrations,Medium,/super/notifications has own page.
5. Super Admin,Settings,Platform-level operator settings,"IP ranges, secrets, defaults",Yes,Partial,Missing,Yes,No,Yes,Partial,Yes,UI Only,50,Settings persistence,Medium,/super/settings.
6. Hospital / Tenant Management,Org Dashboard,Org-scoped overview,Admin sees own organization stats,Yes,Completed,Missing,Yes,No,Yes,N/A,Yes,Static Data Only,60,Real aggregation API,Medium,/admin/dashboard.
6. Hospital / Tenant Management,User Management,Invite + edit + deactivate staff users,Org admin manages all staff in their tenant,Yes,Completed,Missing,Yes,No,Yes,Done (client),Yes,Static Data Only,55,"Real user CRUD with email dispatch, role-permission link",High,"/admin/users + invite + bulk. Forms work, submit is toast."
6. Hospital / Tenant Management,Patient Management,Org-scoped patient list + invite + bulk,Admin sees all patients in their org,Yes,Completed,Missing,Yes,No,Yes,Done (client),Yes,Static Data Only,55,"Real patient CRUD, MRN generation, dedupe",High,/admin/patients + invite + bulk + [id] edit.
6. Hospital / Tenant Management,Patient Assignment,Assign patients to clinicians,Map patients to one or more clinicians,Yes,Partial,Missing,Yes,No,Yes,Partial,Yes,UI Only,45,Assignment table + audit,High,patient detail page has assignments-card.tsx.
6. Hospital / Tenant Management,Clinicians,Invite + manage clinicians,Admin onboards clinicians with specialty + department,Yes,Completed,Missing,Yes,No,Yes,Done (client),Yes,Static Data Only,55,Real clinician CRUD,High,/admin/clinicians + invite + [id].
6. Hospital / Tenant Management,Departments,Departments hierarchy,Configure dept tree + parent links,Yes,Partial,Missing,Yes,No,Yes,Partial,Yes,UI Only,45,Departments table,Medium,/admin/departments + new + dept-row-menu.
6. Hospital / Tenant Management,Templates,Notification template editor,Edit subject/body/variables per channel,Yes,Partial,Missing,Yes,No,Yes,Partial,Yes,UI Only,40,Template persistence + variable validation,Medium,/admin/templates.
6. Hospital / Tenant Management,Reports,Org-scoped reports,Org admin generates org-scoped reports,Yes,Completed,Missing,Yes,No,Yes,N/A,Yes,Static Data Only,55,Real aggregation + export queue,Medium,/admin/reports.
6. Hospital / Tenant Management,Settings,"Org profile, branding, retention defaults",Edit org-level settings,Yes,Partial,Missing,Yes,No,Yes,Partial,Yes,UI Only,50,Settings persistence,Medium,/admin/settings + org-widgets.
6. Hospital / Tenant Management,Appointments Oversight,Org-wide appointment view,Admin oversees clinic schedules + conflicts,Yes,Completed,Missing,Yes,No,Yes,N/A,Yes,Static Data Only,50,"Cross-clinician aggregation, conflict resolution",Medium,/admin/appointments.
6. Hospital / Tenant Management,Consents Campaign,Trigger re-consent campaign for tenant,Admin launches campaign when policy version changes,Yes,Partial,Missing,Yes,No,Yes,Partial,Yes,UI Only,50,Campaign queue + notification dispatcher,High,/admin/consents/campaign + compliance/campaigns. Static recipient counts.
7. Appointment,Slot Booking,Patient books slot from clinician availability,"Patient sees clinician slots, books one, gets confirmation",Yes,Completed,Missing,Yes,No,Yes,Done (client),Yes,Static Data Only,55,"Real slot table + conflict detection, transactional booking",High,/patient/appointments/new.
7. Appointment,Calendar View,Patient calendar of upcoming visits,Visual calendar of patient's appointments,Yes,Completed,Missing,Yes,No,Yes,N/A,Yes,Static Data Only,65,Live data feed,Medium,/patient/appointments + calendar-view.tsx.
7. Appointment,Reschedule / Cancel,Update appointment status,Patient/admin reschedules with reason; window enforced,Yes,Partial,Missing,Yes,No,Yes,Partial (window policy),Yes,UI Only,50,"PATCH /appointments/{id}, policy enforcement, audit log",High,form-dialogs.tsx has RescheduleDialog + CancelAppointmentDialog.
7. Appointment,Reminders,"Email/in-app reminders at T-24h, T-1h",Worker enqueues reminders per appointment,No,Not Started,Missing,Yes,No,Yes,Missing,N/A,Not Started,0,"BullMQ worker, scheduling logic, SendGrid templates",High,No UI or worker. Spec section 8.4 requires this.
7. Appointment,Clinician Schedule,Clinician sees daily/weekly schedule,Patient queue + appointment status transitions,Yes,Completed,Missing,Yes,No,Yes,N/A,Yes,Static Data Only,55,Live data + state transitions,Medium,/clinician/schedule.
7. Appointment,Admin Oversight,Org-wide appointment view + override,Admin reassigns or overrides conflicts,Yes,Partial,Missing,Yes,No,Yes,Partial,Yes,UI Only,50,Override endpoint + audit,Medium,/admin/appointments.
8. Medical Records,Patient View,"Categorized list (labs, Rx, imaging, notes, discharges)",Patient sees own records; consent-bound,Yes,Completed,Missing,Yes,No,Yes,N/A,Yes,Static Data Only,55,"GET /patients/{id}/records + consent guard, encrypted store",High,/patient/records + records-data.ts.
8. Medical Records,Patient Record Detail,Full record metadata + download,"User opens record, sees metadata, exports PDF",Yes,Completed,Missing,Yes,No,Yes,N/A,Yes,Static Data Only,55,Real record fetch + audit-logged view event,High,/patient/records/[id] + record-actions.tsx.
8. Medical Records,Clinician Records,Clinician views patient records (consent-bound),Clinician sees consented PHI only,Yes,Completed,Missing,Yes,No,Yes,Done (client),Yes,Static Data Only,55,"Server-side consent guard, panel-scoped fetch",High,/clinician/patients/[id] has a Records tab gated by consent (ConsentDeniedCard fallback). Functionally covered.
8. Medical Records,Clinician Notes Editor,Compose + finalize clinical notes,"Write note, save draft, finalize (lock immutable)",Yes,Partial,Missing,Yes,No,Yes,Partial,Yes,UI Only,45,Versioning + finalize endpoint,High,/clinician/notes + /new.
8. Medical Records,Record Versioning,Versioned record edits,Each save creates new version with parent link,No,Not Started,Missing,Yes,No,Yes,Missing,N/A,Not Started,0,"parent_record_id schema, version diff UI",Medium,Schema mentions version + parent_record_id; no UI/logic.
8. Medical Records,Per-Record Audit Trail,Who viewed/edited each record,Record-level audit trail view,Yes,Completed,Missing,Yes,No,Yes,N/A,Yes,Static Data Only,55,GET /records/{id}/audit-trail,Medium,/patient/records/[id] has an Access history panel with actor + action + relative time + IP + 5-event window.
8. Medical Records,Right-of-Access Export,Download own PHI as PDF/CSV,Patient exports all PHI in portable format,Yes,Partial,Missing,Yes,No,Yes,N/A,Yes,UI Only,40,Server bundler + audit event,High,patient/settings DataTab.exportPhi (client-side only).
9. Prescription,Patient Rx History,View own prescriptions,List of active + past prescriptions,Yes,Completed,Missing,Yes,No,Yes,N/A,Yes,Static Data Only,60,Real Rx table + refill workflow backend,Medium,"/patient/prescriptions page with Active/Past tabs, refill request action, download. Sidebar link added."
9. Prescription,Clinician Rx Creation,Compose structured prescription,"Clinician writes Rx with structured fields (drug, dose, freq, duration)",No,Not Started,Missing,Yes,No,Yes,Missing,Yes,Not Started,0,"Prescription schema, drug formulary lookup, signing flow",High,Spec section 8.8 lists 'Prescription creation with structured fields'. Not built.
9. Prescription,Refills / Renewals,"Patient requests refill, clinician approves",Refill workflow with audit,No,Not Started,Missing,Yes,No,Yes,Missing,Yes,Not Started,0,Entire refill workflow,Medium,Not in spec but typical patient-portal feature.
10. Consent Management,Patient Grant,Granular consent capture,Patient grants scope+role+duration with signed timestamp,Yes,Completed,Missing,Yes,No,Yes,Done (client),Yes,Static Data Only,60,Real consent table + version snapshot at grant,High,/patient/consents/grant + duration-picker.
10. Consent Management,Patient Revoke,Revoke consent with immediate effect,Patient revokes; subsequent reads denied with consent_revoked,Yes,Completed,Missing,Yes,No,Yes,Done,Yes,Static Data Only,60,Server-side guard rejecting subsequent reads,High,/patient/consents/[id] has revokeConsent action (local).
10. Consent Management,Consent Policy Versioning,Compliance creates v2.x policies,Compliance drafts -> activates -> triggers re-consent,Yes,Completed,Missing,Yes,No,Yes,Partial,Yes,Static Data Only,65,Real policy table + activation workflow,High,"/compliance/consent-policies (list, [version], edit, new)."
10. Consent Management,Re-consent Campaign,Bulk re-consent on policy activation,Compliance triggers campaign; patients notified across channels,Yes,Completed,Missing,Yes,No,Yes,N/A,Yes,Static Data Only,65,"Campaign queue, channel dispatch (email/in-app/SMS), progress tracking",High,/compliance/campaigns + [id]. Day-by-day chart works (recently rebuilt as line chart).
10. Consent Management,Compliance Consent View,Compliance sees all consents,Tenant-scoped consent visibility with audit history,Yes,Completed,Missing,Yes,No,Yes,N/A,Yes,Static Data Only,60,Real consent fetch + filtering,Medium,/compliance/consents (list + [id]).
10. Consent Management,Consent Evaluation Guard,PHI read guard against consents,Every PHI endpoint passes through consent evaluation,N/A,Not Started,Missing,Yes,No,Yes,Missing,N/A,Not Started,0,Server-side guard middleware,Critical,Backend concern. Spec section 6.3 + 10. Without this PHI access is unsafe.
11. Secure Messaging,Patient Inbox,Thread list + unread badges,Patient sees own threads,Yes,Completed,Missing,Yes,No,Yes,N/A,Yes,Static Data Only,55,Real thread API + WS/polling for delivery,High,/patient/messages.
11. Secure Messaging,Thread View,Send/receive with emoji + attachment,Threaded chat with read receipts,Yes,Completed,Missing,Yes,No,Yes,Partial,Yes,Static Data Only,50,"Encrypted body storage, attachments via S3",High,/patient/messages/[threadId] + messages-view + emoji-picker.
11. Secure Messaging,Clinician Messages,Clinician thread view,Clinician messages assigned patients,Yes,Completed,Missing,Yes,No,Yes,N/A,Yes,Static Data Only,55,Real thread API + WS for delivery,Medium,/clinician/messages now standalone (no patient-store dep). 6 mock threads with flag system. Re-export bug fixed.
11. Secure Messaging,Attachments,Attach docs to messages,Attached docs follow document consent rules,Yes,Completed,Missing,Yes,No,Yes,Partial (type/size),Yes,UI Only,50,Real S3 upload + virus scan + consent guard for downloads,Medium,"Attach buttons now stage files into pendingAttachments chips, persist into the message bubble on send, with file size + remove (X)."
11. Secure Messaging,Read Receipts,Mark-read status visible to sender,Read state tracked + audited,Yes,Partial,Missing,Yes,No,Yes,Partial,Yes,Static Data Only,45,Real read receipt API,Low,Shown locally only.
11. Secure Messaging,Encryption Indicators,Visual encryption badges,Indicate that body is encrypted at rest,Yes,Completed,N/A,No,N/A,No,N/A,Yes,Completed,80,Real encryption on backend (table column encrypt),Low,security-badge.tsx renders 'Encrypted' chips.
12. Notifications,Patient Feed,In-app notifications with tabs/filters,Persistent center with mark-read,Yes,Completed,Missing,Yes,No,Yes,N/A,Yes,Static Data Only,65,GET /notifications + mark-read PATCH + dispatch worker,Medium,/patient/notifications using patient-store.
12. Notifications,Clinician Feed,Clinician notifications,"Tasks, msgs, appointments",Yes,Completed,Missing,Yes,No,Yes,N/A,Yes,Static Data Only,60,Real dispatcher,Medium,/clinician/notifications.
12. Notifications,Compliance Feed,Compliance manager alerts,"Anomalies, approvals, deletion requests, campaign progress",Yes,Completed,Missing,Yes,No,Yes,N/A,Yes,Static Data Only,65,Real dispatcher + per-event triggers,Medium,/compliance/notifications uses shared NotificationsList.
12. Notifications,Auditor Feed,Auditor alerts,"Audit window expiries, MFA from new IP, deliveries",Yes,Completed,Missing,Yes,No,Yes,N/A,Yes,Static Data Only,65,Real dispatcher,Low,/auditor/notifications uses shared NotificationsList.
12. Notifications,Super Admin Feed,Platform-ops alerts,"Break-glass openings, tenant security spikes",Yes,Completed,Missing,Yes,No,Yes,N/A,Yes,Static Data Only,65,Real dispatcher + paging,Medium,/super/notifications uses shared NotificationsList.
12. Notifications,Org Admin Feed,Org-scoped notifications,Org admin alerts,Yes,Completed,Missing,Yes,No,Yes,N/A,Yes,Static Data Only,60,Real dispatcher,Medium,/admin/notifications has own page.
12. Notifications,Notification Preferences,Per-channel per-category opt-in/out,User toggles email/SMS/in-app per category,Yes,Completed,Missing,Yes,No,Yes,Done (client),Yes,UI Only,55,PATCH /notifications/preferences + persistence,Medium,"/patient/settings NotificationsTab: 6 categories × 3 channels matrix, Security locked (always-on), Save + Reset."
12. Notifications,Email Channel,SendGrid dispatch,Templates rendered + sent via SendGrid,No,Not Started,Missing,Yes,No,Yes,Missing,N/A,Not Started,0,SendGrid integration + template store + retry/DLQ,High,Entirely missing.
12. Notifications,SMS Channel (optional),Twilio dispatch,Per-tenant optional SMS,No,Not Started,Missing,No (optional),No,Yes,Missing,N/A,Not Started,0,Twilio integration,Low,Optional per spec.
13. Dashboard,Patient,"Greeting, next appt, recent records, msgs, consents",Aggregated quick-stats,Yes,Completed,Missing,Yes,No,Yes,N/A,Yes,Static Data Only,70,Real aggregation,Medium,/patient/dashboard.
13. Dashboard,Clinician,Today's queue + tasks + recent patients,Workspace-style daily view,Yes,Completed,Missing,Yes,No,Yes,N/A,Yes,Static Data Only,60,Real aggregation,Medium,/clinician/dashboard.
13. Dashboard,Org Admin,Org-wide overview,Org admin dashboard,Yes,Completed,Missing,Yes,No,Yes,N/A,Yes,Static Data Only,60,Real aggregation,Medium,/admin/dashboard.
13. Dashboard,Compliance,Posture score + scorecard + anomalies + heatmap + line chart,Real-time compliance posture + activity,Yes,Completed,Missing,Yes,No,Yes,N/A,Yes,Static Data Only,70,Real metrics aggregation + anomaly engine,High,"/compliance/dashboard - heavily worked on. Activity line chart, heatmap variants."
13. Dashboard,Auditor,Read-only audit dashboard,Audit volume + recent events,Yes,Completed,Missing,Yes,No,Yes,N/A,Yes,Static Data Only,55,Real audit feed,Medium,/auditor/dashboard.
13. Dashboard,Super Admin,Platform overview,Cross-tenant view,Yes,Completed,Missing,Yes,No,Yes,N/A,Yes,Static Data Only,60,Real platform metrics,Medium,/super/dashboard.
14. Audit Logs,Compliance Ledger View,Filterable + paginated audit list,Compliance filters by actor/action/status/anomaly/session,Yes,Completed,Missing,Yes,No,Yes,Partial,Yes,Static Data Only,65,Real audit table + indexed query API,High,/compliance/audit-logs - 200 synthetic events. Session-filter chip works.
14. Audit Logs,Event Detail,Drill-down with full event context + chain-of-custody,"Single event with actor, IP, UA, consent check, payload, checksums",Yes,Completed,Missing,Yes,No,Yes,N/A,Yes,Static Data Only,65,Real event store + checksum verification,High,/compliance/audit-logs/[id]. Same-session drill link added.
14. Audit Logs,Same-Session Drill,View all events from same session,Click 'View all events from same session' on detail,Yes,Completed,Missing,Yes,No,Yes,N/A,Yes,Static Data Only,70,Real session_id indexed query,Medium,Built recently. Detail page has prominent CTA.
14. Audit Logs,Auditor Read-Only,Audit view for auditor role,Auditor reads but cannot modify,Yes,Completed,Missing,Yes,No,Yes,N/A,Yes,Static Data Only,60,Real audit fetch + role guard,High,/auditor/audit-logs + [id].
14. Audit Logs,Anomaly Detection,Anomaly feed + investigation,Auto-detected unusual patterns surfaced,Yes,Completed,Missing,Yes,No,Yes,N/A,Yes,Static Data Only,60,Real anomaly engine + rule definitions,High,/compliance/anomalies + [id].
14. Audit Logs,Anomaly Resolution,Resolve with justification,Compliance picks outcome (legitimate/tune/escalate) + writes reason,Yes,Completed,Missing,Yes,No,Yes,Done,Yes,Static Data Only,65,Resolution audit-trail + rule-update endpoint,High,resolve-anomaly.tsx dialog. Submit is toast.
14. Audit Logs,Approval Workflow,Sensitive-access approval queue,Compliance approves with conditions / rejects / requests info,Yes,Completed,Missing,Yes,No,Yes,Done,Yes,Static Data Only,65,Approval table + temporary consent grant on approve,High,/compliance/approvals + [id] decision-form.
14. Audit Logs,Append-Only Guarantee,Audit log immutability,DB user has no UPDATE/DELETE on audit_logs,N/A,Not Started,Missing,Yes,No,Yes,Missing,N/A,Not Started,0,DB role configuration + RLS + checksums,Critical,Backend concern; spec section 11.3.
14. Audit Logs,Checksum Verification,Rolling Merkle/SHA chain over windows,Tamper-evidence on audit windows,Yes,Completed,Missing,Yes,No,Yes,Done (client),Yes,UI Only,45,Real hashing pipeline + verification job + window root storage,Medium,/compliance/audit-logs/[id] has a Verify checksum button → 'walking hash chain' simulation → verified badge w/ timestamp.
15. Billing & Subscription,Pricing Page (marketing),Public pricing tiers,Visitors compare tiers + features,Yes,Completed,N/A,No,N/A,No,N/A,N/A,Completed,80,Wire CTAs to real signup/checkout,Low,/pricing built recently.
15. Billing & Subscription,Subscription Tiers (super),Edit tier definitions,Super admin manages tiers,Yes,Partial,Missing,Yes,No,Yes,Partial,Yes,UI Only,35,"Tier schema, feature flag mapping",Low,edit-tier-dialog.tsx exists.
15. Billing & Subscription,Checkout / Payment,Tenant signs up for tier,Stripe (or equivalent) integration,No,Not Started,Missing,Yes,No,Yes,Missing,N/A,Not Started,0,Entire checkout flow + webhook handling,Low,Out of scope per spec 3.2 ('Billing... deferred').
